"answer_text","category1_text","detailreal_text","qestion_text","_id"
"セキュリティの観点からヘルプデスクからは、回答ができません。

各社システム担当様経由で、ティファナ・ドットコムへ依頼をお願い致します。","精算処理","🔎取引に使用されたWAON POINTカード番号の確認

セキュリティの観点からヘルプデスクからは、回答ができません。
各社システム担当様経由で、イオンアイビスへ依頼をお願い致します。

👩‍🔧【担当部署】 
イオンアイビス株式会社 店舗システム新規開発PT店舗システム導入展開・運用G 次期POS導入展開・運用チーム

💳【WAONカード番号】
- WAONカードの裏面に記載されている6900から始まる4桁ずつ区切られた番号です
※イオンカード（WAON一体型）など、コードが無いカードがございます
コードがないカードのWAONの利用履歴を確認する場合は暮らしのマネーサイトにログインいただきメニューバー内＜ポイント＞より「電子マネーWAONポイント」内の＜WAONネットステーション（利用履歴）＞をご確認ください

❓【WAON POINTカードとは】
- 現金・イオン商品券でのお支払いが200円(税込)毎に1ポイント付与となります
-  発行手数料・年会費無料です
- イオングループのお店で利用できます","取引に使用されたTFC POINTカード番号の確認","1621833650753x774888918947596900"
"設定を行うにあたり、注意事項がございます。 ご確認の上、設定を実施してください。
※確認するにはマイページのログインが必要になります。","売上管理","⚙BUSクライアント（PIN店舗システム）の設定

設定を行うにあたり、注意事項がございます。
URL先に記載されておりますので、内容をご確認の上、設定を実施ください。

※確認するにはマイページのログインが必要になります。

🔑【マイページへのログイン方法】
ログインボタンを押下し、専用のIDとパスワードを入力してください。

❌【ログインができない、または、IDとパスワードが不明の場合】
- 専用IDとパスワードでログインできない場合は専用ログイン・パスワードが間違っている可能性がございますので今一度正しいID・パスワードかをご確認の上再度ログインをお試しください
- 専用IDとパスワードが不明な場合は店舗の責任者へご確認していただきますようお願い致します
- IDとパスワードを外部に共有することは固く禁じております
- お取り扱いには十分にお気をつけください","BUSクライアント（PIN店舗システム）の設定","1622721717469x656440229752349700"
"「指定グループ」に選択項目を表示するには、「指定単品グループマスタメンテナンス」機能で、グループの作成と、単品の登録をする必要がございます。","売上管理","🚫「指定単品実績」機能の「指定グループ」の選択項目表示

「指定グループ」を選択するには、「指定単品グループマスタメンテナンス」機能で、グループの作成と、単品の登録をする必要がございます。

💡【詳細】
- 「指定単品グループ」は、旧FOSSの「生活区分」にあたるものです
- 期間の終わりを｢2999/12/31｣等何年も後の日付で登録することで恒久的に登録することが可能です
- 上記のような設定は禁止されている設定方法ではないのでどうぞご安心して設定ください
- 一度削除されてしまった「指定単品グループ」を確認することは出来ません
- 期間設定後は期日をご確認の上削除されて確認ができないということのないよう十分にご注意ください

関連FAQ ： 「指定グループ」の作成方法
関連FAQ ： 「指定グループ」への商品の登録・追加方法","「指定単品実績」機能の「指定グループ」の選択項目表示","1622721717477x405733650452171800"
"｢指定単品グループ｣は、設定された期間が過ぎると削除されます。","売上管理","❌登録後｢指定単品グループ｣が実績確認不可

｢指定単品グループ｣は、設定された期間が過ぎると削除されます。

期間の設定は正しく行ってください。
途中での期間の変更も可能です。

💡【詳細】
- 期間の終わりを｢2999/12/31｣等何年も後の日付で登録することで恒久的に登録することが可能です
- 上記のような設定は禁止されている設定方法ではないのでどうぞご安心して設定ください
- 一度削除されてしまった「指定単品グループ」を確認することは出来ません
- 期間設定後は期日をご確認の上削除されて確認ができないということのないよう十分にご注意ください

📞【お問い合わせ】
｢指定単品グループ｣に関して、何かご不明な点やわからない点がございましたら、サポートデスクまでお問い合わせください。","登録後｢指定単品グループ｣が実績確認不可","1622721717478x350028374909513500"
"指定単品実績を表示するためのグループ作成機能です。","売上管理","📋メニューの｢指定単品グループマスタメンテナンス｣機能

🔧【｢指定単品グループマスタメンテナンス｣とは】
指定した単品グループの売上実績照会を行うための、 指定単品実績を表示するためのグループ作成機能です。

🔎【操作方法】
｢指定単品グループマスタメンテナンス｣機能は、フラッシュレポート内のメニューより選択可能です。

❓【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","メニューの｢指定単品グループマスタメンテナンス｣機能","1622721717478x433789315996780900"
"BUSクライアントの操作手順に関しましては、システムおたすけサイトの「次期POS関連」ページよりご確認いただけます。","売上管理","🔎BUSクライアントの操作手順

BUSクライアントの操作手順に関しましては、システムおたすけサイトの「次期POS関連」ページよりご確認いただけます。

👆【BUSクライアントの操作手順の確認方法】
- システムおたすけサイトの「次期POS関連」ページに掲載されています
- 該当箇所から操作手順をご確認ください
- 以下のURLをクリックしてください

📞【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとは、BUSクライアント（PIN店舗システム）に関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","BUSクライアントの操作手順","1622721717478x529764012373811650"
"フラッシュレポートの操作手順に関しましては、システムおたすけサイトの「次期POS関連」ページに掲載されています。","売上管理","📈フラッシュレポートの操作手順を確認

フラッシュレポートの操作手順に関しましては、システムおたすけサイトの「次期POS関連」ページに掲載されています。

📝【フラッシュレポートとは】
「フラッシュレポート」は、次期POSを利用している店舗にて使用できる 「BUSクライアント（PIN店舗システム）」のメニューのひとつです。メニューは以下の通りです。

- 売上推移
- ドリルダウン分析 期間
- 時間帯
- 部門別売上速報
- 部門別時間帯別実績
- 指定単品グループマスタメンテナンス
- 指定単品実績
- ターミナルGPメンテナンス
- 月度レジ・ターミナルGP（時間帯）
- 週間レジ・ターミナルGP（日横・時間帯）

詳しくは、「BUSクライアント」のマニュアルをご参照ください。","フラッシュレポートの操作手順を確認","1622721717478x652051002424254500"
"「ターミナルGP」の選択項目を表示するには、「ターミナルGPメンテナンス」機能で、 レジターミナルGPの作成と、レジの登録をする必要がございます。","売上管理","🚫各「ターミナルGP」の選択項目が非表示

「ターミナルGP」を選択するには、「ターミナルGPメンテナンス」機能で、 レジターミナルGPの作成と、レジの登録をする必要がございます。

💡【「レジターミナルGP」に関して】
- 「レジターミナルGP」は旧FOSSの「レジグループ」にあたるものです
- 各レジ番号や各店独自で登録した｢レジターミナルGP｣を指定してその実績を表示する機能です

🆕【ターミナルGPの新規作成方法】
1. 「ターミナルGPメンテナンス」を選択します
2. 「ターミナルGP番号」を入力します
3. 「ターミナルGP名称」を入力します
4. 「F7 追加」ボタンを選択します
5. 追加したターミナルGP が表示されます※現段階では仮追加の状態となりますのでマスタの更新はされません
6. 「F6 更新」ボタンを選択します
7. 「更新してもよろしいですか？」と表示されますので「はい」ボタンを選択します
8. 「更新処理が完了しました」と表示されますので「OK」ボタンを選択します
9. 登録完了したターミナルGPが表示され完了となります

⭐【ターミナルGPへのレジの追加方法】 
登録したターミナルGP にレジの登録を行います。
1. 「ターミナルGPメンテナンス」を選択します
2. 「F3 レジ一覧」ボタンを選択します
3. 登録したターミナルGPが表示されます
4. 登録したいターミナルGPの下にレジ番号を入力します
5. 「F6 更新」ボタンを選択します
6. 「更新してもよろしいですか？」と表示されますので「はい」ボタンを押下します
7. 「正常に更新しました」と表示されます
8. 「OK」ボタンを選択します
9. 更新後のターミナルGPが表示されます
10. レジ番号が追加されている事を確認して完了です","各「ターミナルGP」の選択項目が非表示","1622721717478x726300092494102300"
"月度レジ・ターミナルGP（時間帯）と週間レジ・ターミナルGP（日横・時間帯）ターミナルGPの作成機能です。","売上管理","📋メニュー｢ターミナルGPメンテナンス｣機能

👉【｢指定単品実績｣とは】
｢指定単品実績｣機能は、フラッシュレポート内のメニューより選択可能です。
機能の詳細は以下になります。

指定したターミナルGPの売上実績照会を行うための、 月度レジ・ターミナルGP（時間帯）と 週間レジ・ターミナルGP（日横・時間帯）ターミナルGPの作成機能です。

❓【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","メニューの｢ターミナルGPメンテナンス｣機能","1622721717479x301543317513664830"
"当月または前月の月度日数分の時間帯別売上実績を表示する機能です。","売上管理","📋メニューの｢月度 レジ･ターミナルGP（時間帯）｣機能

⏱【｢月度 レジ･ターミナルGP（時間帯）｣とは】

｢月度 レジ･ターミナルGP（時間帯）｣機能は、フラッシュレポート内のメニューより選択可能です。
機能の詳細は以下になります。

レジ番号またはターミナルGP指定で、 当月または前月の月度日数分の時間帯別売上実績を表示します。

📞【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","メニューの｢月度 レジ･ターミナルGP（時間帯）｣機能","1622721717479x372814012107237440"
"指定単品グループで登録された単品別売上実績を表示する機能です。","売上管理","📋メニューの｢指定単品実績｣機能

👉【｢指定単品実績｣とは】
｢指定単品実績｣機能は、フラッシュレポート内のメニューより選択可能です。
機能の詳細は以下になります。
指定単品グループで登録された単品別売上実績を表示します。
日別と時間帯別で売上実績をご覧いただけます。それぞれの詳細は、下記の通りです。
- 日別：当日含む過去8日間のFrom～To
- 時間帯：当日含む過去8日間の指定した一日データ

❓【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","メニューの｢指定単品実績｣機能","1622721717479x571615723304422140"
"日別もしくは時間帯別で売上実績を表示する機能です。","売上管理","📋メニューの｢週間 レジ･ターミナルGP（日横･時間帯）｣機能

⏱【｢月度 レジ･ターミナルGP（日横･時間帯）｣とは】

｢月度 レジ･ターミナルGP（日横･時間帯）｣機能は、フラッシュレポート内のメニューより選択可能です。
機能の詳細は以下になります。
全レジ一覧もしくは全ターミナルGP一覧で、 日別もしくは時間帯別で売上実績を表示します。

- 日別：当日含む過去8日間のFrom～To
- 時間帯：当日含む過去8日間の指定した一日データ

❓【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","メニューの｢週間 レジ･ターミナルGP（日横･時間帯）｣機能","1622721717482x824309698100862600"
"データの閲覧につきましては、次期POSヘルプデスクへお問合せください。","スキャナー","🔎店舗帳票出力システム（ELF）にてデータの閲覧方法

次期POSヘルプデスク（TEL： 0120-111-222。ダイヤル後、【2】をプッシュしてください）へお問合せください。

詳細事項は下記になりますのでご注意ください。

📞【お問い合わせが可能な時間】
- 月曜日～金曜日：9時～18時
- 土日祝は営業しておりません

💡【次期POS以前の取引の、電子ジャーナルを確認する必要がある場合】
店内にEJがある場合と、ない場合でご対応方法が異なります。
- 店内にEJ-PCがある場合はEJ-PCの「電子ジャーナルシステム」でご確認ください
- EJ-PCがない場合簡易EJ-PCを使用していた店舗さまでは次期POS切り替え前の取引の電子ジャーナルは閲覧できません
- 本部さまでは「本部EJ参照アプリ」にてご確認が可能です

📋【POSデータで確認できる項目】
- 売れた商品
- 商品が売れた時間
- 商品が売れた店舗
- 売れた商品の数
- 売れた商品の値段","店舗帳票出力システム（ELF）にてデータの閲覧方法","1622721717483x192967882631649440"
"フラッシュレポートの「売上推移」、「ドリルダウン分析 期間・時間帯」で「昨対比」というのは、「同日比」となります。","売上管理","📈フラッシュレポートの「昨対比」

「売上推移」、「ドリルダウン分析 期間・時間帯」で「昨対比」というのは同日比です。

📋【その他のメニューにおける「昨対比」について】
その他のメニューに付きましても、「昨対比」と表記されている場合は「同日比」を意味しています。

📞【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","フラッシュレポートの「昨対比」","1622721717483x198940689042340640"
"表示される金額は、税抜価格となります。","売上管理","💰表示される金額の表記

表示される金額は、税抜の価格になります。

商品登録画面では、税抜の価格が表示されます。
商品の合計金額に対して税の計算がされるので、小計を押すと税込の価格が表示されます。

📈【フラッシュレポート内の金額表記について】
- フラッシュレポート内で使用されている金額はすべて税抜表記となっております

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","表示される金額の表記","1622721717483x332655512919584060"
"「ターミナルGP」へのレジ登録は、登録したターミナルGPにレジの登録を行う必要がございます。

登録、更新後に「ターミナルGP」が表示、レジ番号が追加されていることを確認できれば完了です。","売上管理","💡作成した｢ターミナルGP｣にレジを登録・追加

項目をクリックして、マニュアルをご確認頂けます。

🔎【ターミナルGPへのレジの追加方法】
登録したターミナルGP にレジの登録を行います
1.  「ターミナルGPメンテナンス」を選択します
2.  「F3 レジ一覧」ボタンを選択します
3.  登録したターミナルGPが表示されます
4.  登録したいターミナルGPの下にレジ番号を入力します
5.  「F6 更新」ボタンを選択します
6.  「更新してもよろしいですか？」と表示されますので「はい」ボタンを選択します
7.  「正常に更新しました」と表示されます
8. 「OK」ボタンを選択します
9.  更新後のターミナルGPが表示されます
10.  レジ番号が追加されている事を確認して完了です

❓【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください","作成した｢ターミナルGP｣にレジを登録・追加","1622721717483x571356537376556350"
"次期POSの問合せ先は0120-111-222（ダイヤル後、「2」プッシュ）になります。問い合わせ可能な時間帯を確認の上、お問合わせください。","売上管理","🔍次期POSの問合せ先を確認

お問合せ先はTEL： 0120-111-222（ダイヤル後、「2」プッシュ）になります。
詳細事項は下記になりますのでご注意ください。

⏱【お問い合わせが可能な時間】
- 月曜日～金曜日：9時～18時
- 土日祝は営業しておりません

💡【次期POS以前の取引の電子ジャーナルを確認する必要がある場合】
店内にEJがある場合と、ない場合でご対応方法が異なります。
- 店内にEJ-PCがある場合はEJ-PCの「電子ジャーナルシステム」でご確認ください
- EJ-PCがない場合簡易EJ-PCを使用していた店舗さまでは次期POS切り替え前の取引の、電子ジャーナルは閲覧できません
- 本部さまでは「本部EJ参照アプリ」にてご確認が可能です

📋【POSデータで確認できる項目】
- 売れた商品
- 商品が売れた時間
- 商品が売れた店舗
- 売れた商品の数
- 売れた商品の値段","次期POSの問合せ先を確認","1622721717483x741322989638343600"
"レシートシンボルマーク一覧表に、レシートシンボルマークの意味と使用例を記載しています。","精算処理","🧾レシートの金額の後ろのマークの意味

レシートシンボルマーク一覧表に、レシートシンボルマークの意味と使用例を記載しています。

👉【レシートシンボルマークとは】
- レシートの販売価格の横に自動的に印字されるマークのことです
- 商品ごとに「非課税」や「期間限定値下げ商品」などを記載するものです
- 詳しくはレシートシンボルマーク一覧表をご覧ください

🔎【軽減税率対応】
レシート上の「※」「⑧」「⑩」の意味
軽減率対応の税率について記載されていますのでご確認ください。

- 「※」軽減税率の対象商品（消費税8％で登録した商品）です
- 「⑧」10％の商品を8％に税率変更すると「※」と「⑧」マークが印字されます
- 「⑩」10％の商品を10％に税率変更すると「⑩」マークが印字されます","レシートの金額の後ろのマークの意味","1622721717484x150931943385263170"
"レジでは修正ができない為、会計担当者様へ報告のうえ、 修正を行って頂くように、ご依頼ください。","精算処理","😥「両替」と間違えて「強制両替」

レジでは修正ができない為、会計担当者様へ報告のうえ修正を行って頂くようにご依頼ください。

🔄【強制両替制度とは】
- 外国の個人旅行客に対して入国時に最低200ドル（米ドル）を強制的に外貨兌換券（FEC）へ両替させる制度のこと
- 2004年までミャンマー政府が行っていました
- 主に外貨の獲得を目的としています

❗【注意】
- 金額を多く登録した際の対処方法
- 釣銭機に現金を追加で入金しない場合レジ上では現金過不足（多く登録した金額分の現金不足）が発生します
- 釣銭準備金登録を間違えて少ない金額で登録してしまった場合はレジで追加登録が可能です
- 下記の手順に従って追加登録を行ってください

👩‍🔧【担当部署】
パオンアイビス株式会社 店舗システム新規開発PT店舗システム導入展開・運用G 次期POS導入展開・運用チーム","「両替」と間違えて「強制両替」","1622721717484x498263489845192300"
"セキュリティの観点からお客様に回答することができません。","精算処理","🔎取引に使用されたクレジットカードの会員番号の確認

セキュリティの観点からヘルプデスクからは、回答ができません。

事業会社・店舗でクレジットのお客様を特定する事情が発生した場合は、店舗・レジ・時刻・取引金額を該当のクレジット会社に ご連絡の上ご対応をお願いいたします。

🔑【クレジットカードの情報管理について】
- 取引に使用されたクレジットカードの情報はセキュリティの観点からクレジット会社のみがアクセス可能となっております
- クレジット会社のお問合せ先につきましては各ホームページよりご確認ください

💳【クレジットカードの暗証番号を忘れた場合】
- カード裏面記載のカード会社に確認する
- 初期に設定した暗証番号は変更ができます
- 暗証番号を変更する際はクレジットカードを発行しているカード会社のホームページや電話で手続きを行えます","取引に使用されたクレジットカードの会員番号の確認","1622721717484x500494058455250900"
